id,question
0,What type of cuisine is Margherita Pizza classified under?
0,How many calories does one slice of Margherita Pizza contain?
0,What are the main ingredients found in Margherita Pizza?
0,How much does one slice of Margherita Pizza cost?
0,What type of dish is Margherita Pizza considered?
1,What is the name of the salad that contains grilled chicken?
1,Can you tell me the price of the Chicken Caesar Salad?
1,How many calories are in a bowl of Chicken Caesar Salad?
1,What type of cuisine does the Chicken Caesar Salad belong to?
1,What ingredients are included in the Chicken Caesar Salad?
2,What are the main ingredients in Pad Thai?
2,How many calories are in a serving of Pad Thai?
2,What is the price for one plate of Pad Thai?
2,What type of cuisine does Pad Thai belong to?
2,How many servings are included in one order of Pad Thai?
3,What is the name of the appetizer in Japanese cuisine?
3,How many pieces come in a serving of the California Sushi Roll?
3,What are the main ingredients used in the Sushi Roll?
3,What is the price of the California Sushi Roll?
3,How many calories does a serving of the Sushi Roll contain?
4,What type of dish is the Cheeseburger?
4,Can you tell me the main ingredients in a Cheeseburger?
4,How many calories are there in the Cheeseburger?
4,What is the price of the Cheeseburger?
4,How many servings does one Cheeseburger provide?
5,What is the name of the dish?
5,What type of cuisine does this dish belong to?
5,What are the main ingredients in Spaghetti Carbonara?
5,How many calories are in one plate of Spaghetti Carbonara?
5,What is the price of a serving of Spaghetti Carbonara?
6,What are the main ingredients in the Beef Tacos?
6,How many tacos are included in one serving of Beef Tacos?
6,What is the price for the Beef Tacos?
6,What type of dish are the Beef Tacos classified as?
6,Can you tell me the total calorie count for the Beef Tacos?
7,What ingredients are included in the Greek Salad?
7,How many calories does the Greek Salad contain?
7,What type of dish is the Greek Salad classified as?
7,What is the price for a bowl of Greek Salad?
7,How many servings are there in the Greek Salad?
8,What is the name of the pizza that contains BBQ sauce and chicken?
8,Which cuisine does the BBQ Chicken Pizza belong to?
8,What are the main ingredients used in the BBQ Chicken Pizza?
8,How many calories is one slice of BBQ Chicken Pizza?
8,What is the price of a single slice of BBQ Chicken Pizza?
9,What is the name of the dish that features rice and egg?
